Dataset,stability_VCP,stability_VCP_std,stability_PCP,stability_PCP_std
meps_19,0.0,0.0,0.13299930728374412,0.004727405558551679
meps_20,0.0,0.0,0.13188556852853048,0.005775077065355148
meps_21,0.0,0.0,0.13517638468532991,0.0031285784162219535
bike,0.0,0.0,0.07535093197389069,0.0006300174517104298
blog_data,0.0,0.0,0.10792291678917958,0.003333659744755132
bio,0.0,0.0,0.09923986646852694,0.0001665626247124083
facebook_1,0.0,0.0,0.09605949552464224,0.0007945223626217206
facebook_2,0.0,0.0,0.10106576319213878,0.0007915066460149508
concrete,0.0,0.0,0.12644333081363895,0.001662455622168829
star,0.0,0.0,0.11858321860596346,0.0007538607672709528
