Dataset,stability_VCP,stability_VCP_std,stability_PT_VCP,stability_PT_VCP_std
meps_19,0.0,0.0,1.2568762874958206,0.014821318559651879
meps_20,0.0,0.0,1.2401997388576511,0.008314185239980374
meps_21,0.0,0.0,1.2555912843786579,0.011243404102354276
bike,0.0,0.0,0.587487566454396,0.0024101341204053987
blog_data,0.0,0.0,1.227838680633779,0.0139692083287061
bio,0.0,0.0,0.6101491679608644,0.0013191815861586978
facebook_1,0.0,0.0,0.621577364421365,0.0049807385567622545
facebook_2,0.0,0.0,1.1944586765104375,0.00619569458054172
concrete,0.0,0.0,1.1411048920546327,0.011995134693860985
star,0.0,0.0,1.1381386873033352,0.007254702013867653
