dataset,bias,vcp_coverage_mean,vcp_coverage_std,vcp_length_mean,vcp_length_std,pt_vcp_coverage_mean,pt_vcp_coverage_std,pt_vcp_length_mean,pt_vcp_length_std
meps_19,80,0.9004117833386125,0.005686108501062237,162.3232698553254,0.5110050355930346,0.897687678175483,0.0063635725074932805,156.98727501708112,0.6471973803935747
meps_20,80,0.9000284981476204,0.004966860057916082,161.96342297187172,0.26237810601396505,0.9005984611000286,0.0032060099425306964,156.62147314280602,0.6480458445594853
meps_21,80,0.9035121328224776,0.004681198673847067,162.27084531333117,0.2521470921932934,0.8990421455938697,0.0028009849552313036,156.88449049623577,0.749421228493418
bike,40,0.9006427915518824,0.004687694772488613,80.45854619068844,0.03564742413517529,0.8986225895316805,0.006423978854873376,77.29352327158091,0.17986133821702008
blog_data,80,0.8987404580152673,0.005027965033265016,161.63538508890215,0.7299083471711827,0.8993320610687023,0.0035804700456667335,156.09981558614078,0.9237957816926853
bio,40,0.9006122895254756,0.0038208694643741084,81.12758750932326,0.04908429413510956,0.8998031926525257,0.0033937601016481357,78.11267721334528,0.14404850579137507
facebook_1,40,0.9018803418803418,0.002442734932877879,80.77397100408255,0.07434333610429468,0.9006837606837607,0.0027634578360797787,78.1533398805849,0.28190642396169874
facebook_2,40,0.8996741068683516,0.0009025317902925015,80.94414562850352,0.1469980477287836,0.8988624485027362,0.0014002282803901277,78.32722967807648,0.3237466000785453
concrete,20,0.8951456310679612,0.03048605527787883,40.31847266500695,0.02244454767308696,0.8922330097087379,0.020686675488021902,38.64579886080153,0.21434459541260142
star,20,0.9085450346420323,0.00953337988016179,40.13518356973006,0.00961825985166145,0.9062355658198614,0.009420821272226883,38.47360373814862,0.2661064600485246
