dataset,interval_stability_mean_over_model_seed,interval_stability_std_over_model_seed,test_mean_interval_length_mean_over_model_seed,test_mean_interval_length_std_over_model_seed,num_available_model_seed
meps_19,0.626625241,0.336278427,5.998288918,0.632357346,5
meps_20,0.339026866,0.273228434,5.102083762,0.934345776,5
meps_21,0.895284793,0.593802605,5.745805868,0.667409909,5
bike,0.027149016,0.01165728,0.683450925,0.017476188,5
blog_data,1.413026213,1.08287533,6.810912116,1.514453646,5
bio,0.025215958,0.013508305,1.505821602,0.022568059,5
facebook_1,0.640953396,0.578813365,3.058925422,0.82974274,5
facebook_2,0.40281621,0.265733407,2.85203286,0.563423893,5
concrete,0.112879381,0.075699165,0.663391678,0.10319158,5
star,0.013175731,0.006592916,0.275928323,0.017189024,5
